Linker 1,Linker 2,Linker 3,Linker 4,Linker 5,Linker 6
"5-Carboxybenzene-1,3-dicarboxylate-O,O',O'',O'''","5-carboxybenzene-1,3-dicarboxylate-O,O',O''","1,2,4-triazol-4-yl",,,
"5-Carboxybenzene-1,3-dicarboxylate-O,O',O'',O'''","5-carboxybenzene-1,3-dicarboxylate-O,O',O''","1,2,4-triazolate-N,N',N''",,,
"5-Carboxybenzene-1,3-dicarboxylate-O,O',O'',O'''","5-carboxybenzene-1,3-dicarboxylate-O,O',O''","1,2,4-triazol-4-yl",,,
"Benzene-1,3,5-tricarboxylate","1,2,4-triazol-4-yl",,,,
"formate-O,O'",,,,,
Terephthalate,"4-(3,5-dimethyl-1H-pyrazol-4-ylmethyl)-3,5-dimethyl-1H-pyrazol",,,,
"4,4'-Biphenyldicarboxylate-O,O,O',O'',O'''","4,4'-biphenyldicarboxylate-O,O',O'',O'''",,,,
"4,4'-Biphenyldicarboxylate-O,O,O',O'',O'''","4,4'-biphenyldicarboxylate-O,O',O'',O'''",,,,
"4,4'-Biphenyldicarboxylate-O,O,O',O'',O'''","4,4'-biphenyldicarboxylate-O,O',O'',O'''",,,,
"4,4'-Biphenyldicarboxylate-O,O,O',O'',O'''","4,4'-biphenyldicarboxylate-O,O',O'',O'''",,,,
"4,4'-Biphenyldicarboxylate-O,O,O',O'',O'''","4,4'-biphenyldicarboxylate-O,O',O'',O'''",,,,
"4,4'-Biphenyldicarboxylate-O,O,O',O'',O'''","4,4'-biphenyldicarboxylate-O,O',O'',O'''",,,,
"4,4'-([(carboxylatemethyl)azanediyl]bis{(ethane-2,1-diyl)[(carboxylatemethyl)azanediyl]methylene})dibenzoate",,,,,
"perylene-3,4,9,10-tetracarboxylate",,,,,
"4,4'-(1,4-Phenylene)-bis(1,2,4-triazole)-N,N',N'',N'","4,4'-(1,4-phenylene)-bis(1,2,4-triazole)-N,",hydroxo,,,
"4,4'-(1,4-Phenylene)-bis(1,2,4-triazole)-N,N',N'',N'","sulfate-O,O',O''",hydroxo,,,
D-Saccharinate,,,,,
u1-hexakis(4-(carboxylatephenyl)oxymethyl)-3-oxapentan,"1,1'-(1,4-phenylene)bis(1H-imidazole)",,,,
u1-hexakis(4-(carboxylatephenyl)oxymethyl)-3-oxapentan,"1,1'-(1,4-phenylene)bis(1H-imidazole)",,,,
"Benzene-1,3,5-tricarboxylate)-(N,N-dimethylformamide-O)-(dimethylsulfoxide",,,,,
"benzene-1,3,5-tricarboxylate)-hexakis(1H-benzimidazol",,,,,
"N,N'-(1,3-phenylene)-bis(oxamate))-hexaaqua-tri-",,,,,
"(hexane-1,6-diylbis{[(phosphonomethyl)azanediyl]methylene})bis[hydrogen",,,,,
"Pyrazole-3,5-dicarboxylate-N,O,O,O',O'',O'''","carbonate-O,O,O',O',O'',O''",,,,
dicyanonitromethanide,,,,,
but-2-enedioate,hydroxo,,,,
"anthracene-9,10-dicarboxylate)-tetrakis(N,N-dimethylformamid",,,,,
,,,,,
"Benzene-1,2,4,5-tetracarboxylate","1,1'-(1,4-phenylenebis",,,,
"Squarate-O,O,O',O'',O'',O'''",hydroxo,,,,
"3,6-bis[(1H-imidazol-5-yl)methyl]piperazine-2,5-dione",oxalate,,,,
5-Aminotetrazolyl,isophthalate,5-aminotetrazolyl,,,
5-Aminotetrazolyl,chloro,,,,
"4,4'-(Methylenebis(3,5-dimethyl-1H-pyrazole-1,4-diyl))dibenzoate)-diaqua-bis(ethanol)-di-",,,,,
"4H-1,2,4-Triazole",fluoro,,,,
"1,4-bis(imidazol-1-ylmethyl)benzene-N,N'",hydrogen,,,,
hydrogen,,,,,
"benzene-1,2,4,5-tetracarboxylate-O,O',O'',O''',O'''',O'''''",,,,,
"1,2,4,5-benzenetetracarboxylate-O,O',O'',O'''","1,3-bis(imidazol-1-ylmethyl)benzene-N,N'",,,,
"Biphenyl-4,4'-dicarboxylate",4-(pyridin-4-yl)benzoate,oxo,,,
Terephthalate,oxo,4-(4-pyridyl)benzoate,,,
Terephthalate,isonicoate,oxo,,,
Oxalate,,,,,
Oxalate,,,,,
Oxalate,,,,,
