,0
143,"catena-(icosakis(mu!3$-oxo)-tetrakis(mu!2$-4,4'-bipyridine)-hexakis(mu!2$-oxo)-dodecaoxo-di-nickel-hepta-vanadium(iv)-nona-vanadium(v) bromide)"
144,"catena-((mu!10$-1,7-bis(4-carboxylatophenoxy)-2,2,6,6-tetrakis((4-carboxylatophenoxy)methyl)-4-oxaheptane)-di-lanthanum N,N-dimethylformamide solvate)"
145,"catena-((mu!10$-1,7-bis(4-carboxylatophenoxy)-2,2,6,6-tetrakis((4-carboxylatophenoxy)methyl)-4-oxaheptane)-di-europium N,N-dimethylformamide solvate)"
146,catena-[octakis(mu-carbonato)-pentakis(mu-fluoro)-nona-cesium-hexa-magnesium]
147,"catena-((mu!10$-1,7-bis(4-carboxylatophenoxy)-2,2,6,6-tetrakis((4-carboxylatophenoxy)methyl)-4-oxaheptane)-di-terbium N,N-dimethylformamide solvate)"
148,"catena-[(mu-5-amino-2,4,6-triiodoisophthalato)-(mu-1,1'-butane-1,4-diylbis(2-methyl-1H-imidazole))-zinc(ii) dihydrate]"
149,"catena-[(mu-2,5-diaminobenzene-1,4-dicarboxylato)-bis(mu-tetrakis(Imidazol-1-yl)borate)-di-cadmium(ii) N,N-dimethylformamide solvate]"
150,"catena-[hexakis(mu-naphthalene-2,6-dicarboxylato)-octa-aqua-tetra-europium(iii) unknown solvate]"
151,"catena-(bis(mu-aqua)-tris(mu-1,1'-(1,4-phenylene)bis(1H-imidazole))-bis(mu-2-(hydrogen sulfonato)terephthalato)-diaqua-tetra-zinc dodecahydrate)"
152,catena-((mu-tetrakis(imidazolyl)borate)-acetato-cadmium dimethylformamide solvate)
153,"catena-((mu-1,1'-butane-1,4-diylbis(2-methyl-1H-imidazole))-(mu-5-t-butylisophthalato)-zinc ethanol solvate)"
154,"catena-(bis(mu-1,1'-(1,4-phenylene)bis(1H-imidazole))-bis(mu-2-sulfonatoterephthalato)-tetra-aqua-tri-cadmium dihydrate)"
