code,raw linkers,Linker 1,Linker 2,Linker 3,Linker 4,Linker 5,Linker 6,Linker 7,Linker 8,metals,solvents
BEPFIN,catena-[(mu!7$-tetracyanoethene)-rubidium],tetracyanoethene,,,,,,,,nickel,[]
BEPLUF,catena-[(mu!3$-N-(Pyridin-4-ylmethyl)-L-alaninato)-formato-zinc],N-(Pyridin-4-ylmethyl)-L-alaninat,,,,,,,,copper,[]
BEPMOB,"catena-[dimethylammonium tetrakis(mu-3,5-bis(trifluoromethyl)-1H-pyrazole-4-carboxylato)-tris(N,N-dimethylformamide)-tri-copper(i)-di-copper(ii) N,N-dimethylformamide solvate]","3,5-bis(trifluoromethyl)-1H-pyrazole-4-carboxylate)-tris(N,N-dimethylformamide)-tri",,,,,,,,tungsten,"['N,N-dimethylformamide', 'solvate]']"
BEPNOC,"catena-[(mu-hydrogen 2-sulfitobenzene-1,4-dicarboxylato)-aqua-strontium]","hydrogen2-sulfitobenzene-1,4-dicarboxylate",,,,,,,,magnesium,[]
BEPPIY,catena-[(mu-oxalato)-(mu-formato)-europium(iii)],oxalate,formate,,,,,,,cobalt,[]
BEPREV,"catena-[tris(mu!5$-4,4'-(4,4'-Bipyridine-2,6-diyl)dibenzoato)-(mu!3$-hydroxo)-tri-nickel N,N-dimethylformamide solvate]","4,4'-(4,4'-Bipyridine-2,6-diyl)dibenzoate",hydroxo,,,,,,,silver,"['N,N-dimethylformamide', 'solvate]']"
BEPVAV,"catena-[(mu!3$-2,6-bis((3,5-Dimethyl-1H-pyrazol-4-yl)methyl)pyridine)-tris(mu!2$-cyano)-tri-copper(i) acetonitrile solvate monohydrate]","2,6-bis((3,5-Dimethyl-1H-pyrazol-4-yl)methyl)pyridine",cyano,,,,,,,manganese,"['acetonitrile', 'solvate', 'monohydrate]']"
BEQBEG,"catena-[(mu!4$- N,N'-(1,4-Phenylenebis(methylene))diisonicotinamido)-(mu!2$- N,N'-(1,4-phenylenebis(methylene))diisonicotinamido)-bis(mu!2$-terephthalato)-diaqua-di-cadmium dihydrate]","N,N'-(1,4-Phenylenebis",,,,,,,,copper,"[""N,N'-(1,4-phenylenebis(methylene))diisonicotinamido)-bis(mu!-terephthalato)-diaqua-di-cadmium"", 'dihydrate]']"
BEQFEK,"catena-(bis(mu!4$-Biphenyl-4,4'-dicarboxylato)-bis(mu!3$-4-(3,5-dimethyl-1H-pyrazol-1-yl)-3,5-dimethylpyrazolato)-(mu!2$-biphenyl-4,4'-dicarboxylato)-tetra-cobalt acetonitrile N,N-dimethylformamide solvate dihydrate)","Biphenyl-4,4'-dicarboxylate","4-(3,5-dimethyl-1H-pyrazol-1-yl)-3,5-dimethylpyrazolat","biphenyl-4,4'-dicarboxylate",,,,,,cadmium,"['acetonitrile', 'N,N-dimethylformamide', 'solvate', 'dihydrate)']"
BEQHUD,catena-[bis(mu-3-formyl-4-(pyridin-4-yl)benzoato)-zinc(ii) unknown solvate],3-formyl-4-(pyridin-4-yl)benzoate,,,,,,,,cadmium,"['unknown', 'solvate]']"
BEQJOZ,"catena-(bis(mu-5,5'-(4H-1,2,4-triazole-3,5-diyl)bis(benzene-1,3-dicarboxylato))-hexaaqua-di-holmium(iii) hydroxide N,N-dimethylformamide solvate)","5,5'-(4H-1,2,4-triazole-3,5-diyl)bis(benzene-1,3-dicarboxylate)",,,,,,,,zinc,"['hydroxide', 'N,N-dimethylformamide', 'solvate)']"
BEQKAM,"catena-(undecakis(mu-benzene-1,3,5-tricarboxylato)-tris(mu-hydroxo)-tris(mu-oxo)-octadecaaqua-icosa-zinc(ii) ethanol solvate)","benzene-1,3,5-tricarboxylate",hydroxo,oxo,,,,,,nickel,"['ethanol', 'solvate)']"
BEQZIJ,"catena-((mu-1,1'-(hexane-1,6-diyl)bis(5,6-dimethyl-1H-benzimidazole))-bis(mu-4,4'-oxydibenzoato)-di-cobalt)","1,1'-(hexane-1,6-diyl)bis(5,6-dimethyl-1H-benzimidazole)","4,4'-oxydibenzoate",,,,,,,nickel,[]
BERFIP,"catena-[(mu!6$-Benzene-1,2,4,5-tetracarboxylato)-bis(mu!3$-3-amino-1,2,4-triazolato)-diaqua-tri-zinc(ii) trihydrate]","Benzene-1,2,4,5-tetracarboxylate","3-amino-1,2,4-triazolate",,,,,,,indium,['trihydrate]']
BERGAI01,"catena-[bis(mu!3$-3-Amino-1,2,4-triazolato)-(mu!2$-terephthalato-O,O')-di-zinc(ii) unknown solvate]","3-Amino-1,2,4-triazolate","terephthalate-O,O'",,,,,,,copper,"['unknown', 'solvate]']"
BERROH,catena-(bis(mu!2$-N-(Tetrazol-5-yl)propanamide)-manganese(ii)),N-(Tetrazol-5-yl)propanamide,,,,,,,,copper,[]
